name,x,y,width,length,rotation
b00000,116.3515625,173.69921875,17.0,6.0,1.57
b00001,117.1796875,179.351171875,18.0,4.0,1.67
b00010,216.76171875,109.8818359375,17.0,4.0,1.01
b00011,218.00390625,115.73046875,18.0,5.0,1.11
b00100,220.07421875,120.83723958333336,16.0,5.0,1.25
b00101,238.5,155.7703125,20.0,8.0,0.56
b00110,308.0625,80.90321180555556,17.0,7.0,0.57
b00111,116.23828125,235.79765625000002,18.0,7.0,1.57
b01000,116.74921875,242.84859375000002,17.0,5.0,1.67
b01001,217.659375,180.19062499999998,19.0,5.0,1.25
b01010,217.1484375,174.561796875,15.0,5.0,1.28
b01011,220.46953125000002,183.298828125,17.0,5.0,1.11
b01100,238.86328125,219.73151041666665,18.0,7.0,0.69
b01101,306.81796875000003,144.13546875,17.0,5.0,0.51
b01110,77.91796875,8.44695060483871,6.0,16.0,1.41
b01111,84.815625,6.386718749999908,25.0,6.0,6.2
