file,name,x,y,width,length,rotation,split_alpha,opacity
0.png,b0000,67.85625,90.866015625,13.0,25.0,0.38,None,None
0.png,b0001,75.25546875,77.330859375,11.0,23.0,0.53,None,None
0.png,b0010,79.94765625000001,111.82121394230771,13.0,19.0,1.78,None,None
0.png,b0011,98.35546875,82.06252441406251,14.0,24.0,1.9,None,None
0.png,b0100,172.52812500000002,36.692016267123286,16.0,26.0,1.67,None,None
0.png,b0101,156.646875,57.11015624999999,15.0,28.0,6.14,None,None
0.png,b0110,162.24140625,70.41289062500002,12.0,30.0,6.14,None,None
0.png,b0111,183.7171875,82.46709498355264,15.0,30.0,1.14,None,None
0.png,b1000,104.13046875,139.175244140625,16.0,24.0,1.27,None,None
0.png,b1001,117.12421875000001,152.88590625000003,14.0,19.0,0.49,None,None
0.png,b1010,121.45546875000001,173.094140625,13.0,17.0,1.88,None,None
0.png,b1011,121.45546875000001,190.91337890625002,15.0,22.0,0.9,None,None
